Region,SubRegion,Country/Territory,Type of offence,Year,Drugs,Total,Males,Females,Unknown/Other/ Third/Intersex,Adults,Juveniles,Specify year
Africa,North Africa,Algeria,Offences related to drug trafficking,2020,All illicit drugs,22728,22372,356,,22312,416,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2020,All illicit drugs,41546,41214,332,,40998,548,
Africa,North Africa,Algeria,Other drug-related offences,2020,All illicit drugs,47,47,,,47,,
Africa,North Africa,Egypt,Offences related to drug trafficking,2020,All illicit drugs,62076,,,,,,
Africa,North Africa,Egypt,Offences related to drug use and/or drug possession,2020,All illicit drugs,62076,,,,61390,686,
Africa,East Africa,Kenya,Offences related to drug trafficking,2020,All illicit drugs,536,,,,,,
Africa,East Africa,Kenya,Offences related to drug use and/or drug possession,2020,All illicit drugs,2787,,,,,,
Africa,East Africa,Kenya,Other drug-related offences,2020,All illicit drugs,90,,,,,,
Africa,East Africa,Mauritius,Offences related to drug trafficking,2020,All illicit drugs,1598,1498,99,,1576,21,
Africa,East Africa,Mauritius,Offences related to drug use and/or drug possession,2020,All illicit drugs,1773,1721,52,,1759,14,
Africa,East Africa,Mauritius,Other drug-related offences,2020,All illicit drugs,17,12,5,,17,0,
Africa,Southern Africa,Zambia,Offences related to drug trafficking,2020,All illicit drugs,4080,3819,261,,3815,265,
Africa,Southern Africa,Zambia,Offences related to drug use and/or drug possession,2020,All illicit drugs,135,133,2,,114,21,
Africa,Southern Africa,Zambia,Other drug-related offences,2020,All illicit drugs,120,117,3,,120,0,
Africa,West and Central Africa,Ghana,Offences related to drug trafficking,2020,All illicit drugs,29,26,3,,29,0,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2016,Solvents and inhalants,1,1,0,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2018,All illicit drugs,41368,41006,362,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2018,Cannabis-type,26452,26246,206,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2018,Opioids,22,22,0,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2018,Cocaine-type,142,137,5,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2018,ATS,14504,14354,150,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2018,Other opioids not under international control,6,6,0,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2018,All illicit drugs,10035,9879,156,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2018,Cannabis-type,6515,6429,86,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2018,Opioids,14,14,0,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2018,Cocaine-type,112,107,5,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2018,Non-specified,242,241,1,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2018,ATS,3317,3253,64,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2018,Other opioids not under international control,0,0,0,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2018,Non-specified,77,76,1,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2017,All illicit drugs,34030,33839,191,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2017,Cannabis-type,22003,21901,102,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2017,Opioids,28,28,,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2017,Cocaine-type,338,335,3,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2017,ATS,10667,10592,75,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2017,Other stimulants,431,426,5,,,,
Africa,North Africa,Algeria,Offences related to drug use and/or drug possession,2017,Ecstasy-type substances,560,554,6,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2017,All illicit drugs,8549,8448,101,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2017,Cannabis-type,5688,5637,51,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2017,Opioids,23,23,,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2017,Cocaine-type,139,136,3,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2017,ATS,2359,2323,36,,,,
Africa,North Africa,Algeria,Offences related to drug trafficking,2017,Other stimulants,85,80,5,,,,
